"Hide Price","Ocultar Preço"
Change,Alterar
"Get a Quote Requests","Solicitações de Orçamento"
"Send Email","Enviar E-mail"
Back,Voltar
Delete,Excluir
"You are about to delete this request. Are you sure you want to do that?","Você está prestes a excluir esta solicitação. Tem certeza de que deseja fazer isso?"
"Customer Name","Nome do Cliente"
"Customer Email","E-mail do Cliente"
"Customer Phone","Telefone do Cliente"
Product,Produto
Store,Loja
Created,Criado
Status,Status
Comment,Comentário
"Admin Answer Text","Texto da Resposta do Admin"
"Please update Amasty Base module. Re-upload it and replace all the files.","Atualize o módulo Amasty Base. Envie-o novamente e substitua todos os arquivos."
"Laminas DOM package is not installed (The package is required for hiding ""Add to Cart"" button on Category Page). Please, run the following command in the SSH: composer require laminas/laminas-dom","O pacote Laminas DOM não está instalado (o pacote é necessário para ocultar o botão ""Adicionar ao Carrinho"" na página de categoria). Execute o seguinte comando via SSH: composer require laminas/laminas-dom"
"Amasty Hide Price","Amasty Ocultar Preço"
Requests,Solicitações
"Request was deleted.","Solicitação excluída."
"Can't delete item right now. Please review the log and try again.","Não é possível excluir o item no momento. Verifique o log e tente novamente."
"Can't find a item to delete.","Não foi possível encontrar o item para excluir."
"This request no longer exists.","Essa solicitação não existe mais."
"Get a Quote Request from ","Solicitação de Orçamento de "
"Please select items.","Selecione os itens."
"Get a Quote requests are deleted.","Solicitações de orçamento excluídas."
"Can't delete items right now. Please review the log and try again.","Não é possível excluir os itens no momento. Verifique o log e tente novamente."
"Please enter a Email Text.","Digite o texto do e-mail."
"Email Answer was sent.","Resposta por e-mail enviada."
"Please select request id.","Selecione o ID da solicitação."
"Sorry. There is a problem with Your Quote Request. Please try again or use Contact Us link in the menu.","Desculpe. Há um problema com sua solicitação de orçamento. Tente novamente ou use o link Fale Conosco no menu."
"Thanks for contacting us. We'll respond to you as soon as possible. ","Obrigado por entrar em contato. Responderemos o mais rápido possível. "
"Form key is not valid. Please try to reload the page.","Chave de formulário inválida. Tente recarregar a página."
"Please enter a valid email address.","Informe um endereço de e-mail válido."
"Please enter a name.","Informe um nome."
"Please enter a phone.","Informe um telefone."
"There are no product for your request.","Não há produto para sua solicitação."
"Please agree to the Privacy Policy","Por favor, aceite a Política de Privacidade"
"Custom Forms module was not installed.","O módulo Formulários Personalizados não foi instalado."
"Unable to save request with ID %1. Error: %2","Não foi possível salvar a solicitação com ID %1. Erro: %2"
"Unable to save new request. Error: %1","Não foi possível salvar a nova solicitação. Erro: %1"
"Request with specified ID ""%1"" not found.","Solicitação com ID especificado ""%1"" não encontrada."
"Unable to remove request with ID %1. Error: %2","Não foi possível remover a solicitação com ID %1. Erro: %2"
"Unable to remove request rule. Error: %1","Não foi possível remover a regra de solicitação. Erro: %1"
NONE,NENHUM
"NOT LOGGED IN","NÃO CONECTADO"
No,Não
Yes,Sim
"Replace with custom button","Substituir por botão personalizado"
Hide,Ocultar
Show,Exibir
"-- Default Config --","-- Configuração Padrão --"
"Link to Custom URL","Link para URL Personalizada"
"Amasty Hide Price Popup","Popup de Ocultar Preço da Amasty"
"Popup with Custom Form","Popup com Formulário Personalizado"
"not installed","não instalado"
Pending,Pendente
Viewed,Visualizado
Answered,Respondido
"Adding to the cart is disabled","Adicionar ao carrinho está desabilitado"
"%1 can't be added to your wishlist","%1 não pode ser adicionado à sua lista de desejos"
"Display Price Mode","Modo de Exibição de Preço"
